#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:34:20Z,1326.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:34:30Z,1336.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:34:40Z,1346.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:34:50Z,1356.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:00Z,1366.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:10Z,1376.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:20Z,1386.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:30Z,1396.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:40Z,1406.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:35:50Z,1416.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:00Z,1426.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:10Z,1436.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:20Z,1444,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:30Z,1455.3333333333333,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:40Z,1466.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:36:50Z,1476.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
